chat_id,assigned_topics
1.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""

Topic: Emotional Well-being  
Quote: ""It sounds like you want a higher quality of life and think that less procrastination could contribute to it.""

Topic: Family and Social Relationships  
Quote: ""So you would like to spend more time with your loved ones if you were to procrastinate less."""
2.0,"Topic: Procrastination  
Quote: ""I see the importance, but I can't catch up.""

Topic: Goal Setting  
Quote: ""It can be helpful to set smaller, achievable goals.""

Topic: Patience  
Quote: ""Stay patient with yourself and celebrate small successes."""
3.0,"Topic: Procrastination  
Quote: ""I'm unproductive and I need longer than I need to do my job. If I could change that, I'd have more free time.""

Topic: Goal Setting  
Quote: ""I would be totally proud of myself because I made a half marathon, which would give me a lot of self-confidence and the assurance that I can achieve goals if I just want to."" 

Topic: Self-Reflection  
Quote: ""You have recognized the problem of procrastination and want to work on being more productive to have more leisure time."""
4.0,"Topic: Healthy Eating  
Quote: ""I want to change my diet in the long term to become fitter and healthier.""

Topic: Fear of Failure  
Quote: ""I'm not sure I can do it"""
5.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""  

Topic: Weight Loss  
Quote: ""I am overweight and want to lose weight, but I want to eat healthy in the long term.""  

Topic: Self-Reflection  
Quote: ""You've already realized that you could do more, but you've also taken some steps to change your eating habits.""  

Topic: Goal Setting  
Quote: ""Perhaps you could set yourself the next goal to inform yourself about healthy alternatives within the next week and create a simple diet plan.""  

Topic: Behavioral Change  
Quote: ""Your desire to eat healthy in the long term is very important to you – you rated it with a 9 out of 10.""  "
6.0,"Topic: Procrastination  
Quote: ""Because she prevents me from doing things and relaxing after that.""

Topic: Self-Reflection  
Quote: ""It's important to me, but I still can't catch up."""
7.0,"Topic: Healthy Eating  
Quote: ""I want to eat less sugar and lose some weight so that the pants fit better.""

Topic: Emotional Connection to Food  
Quote: ""The stressful day is over and I treat myself to something delicious.""

Topic: Self-Reflection  
Quote: ""I hope it helped you at least to get a little closer to your goal."""
8.0,"Topic: Healthy Eating  
Quote: ""In recent times, I have been feeding myself unhealthyly and I want to change this behavior to improve my health.""

Topic: Goal Setting  
Quote: ""Starting with small, easy-to-use goals is a good idea."""
9.0,"Topic: Procrastination  
Quote: ""I often take care of important things, and then I don't make it, so I often feel guilty.""

Topic: Self-Reflection  
Quote: ""It shows that you are able to recognize and question your patterns."""
10.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""

Topic: Self-Reflection  
Quote: ""I'm not here to give you tips or recommendations for action, but to get clear about your motives and values."" 

Topic: Goal Setting  
Quote: ""I always set small goals at work and reach them gradually."" 

Topic: Productivity  
Quote: ""I think I'm more productive than I've ever been before."""
11.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  
Quote: ""It restricts me at work and reduces my productivity""  
Quote: ""Tasks where I don't know how to start or problems for which I don't have a specific idea for a solution""  

Topic: Self-Reflection  
Quote: ""Can you tell me something about why this change is important to you?""  
Quote: ""Why didn't you give a higher or lower value?""  
Quote: ""It is a first important step that you have realized that a change would make sense""  "
12.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""

Topic: Motivation and Confidence  
Quote: ""It's great to hear that you're so motivated to reduce your procrastination.""

Topic: Distraction Management  
Quote: ""What could prevent you from procrastinate less? My cell phone for example""

Topic: Behavioral Change  
Quote: ""Taking concrete, feasible steps is an important part of the process."""
13.0,"Topic: Healthy Eating  
Quote: ""I have been eating rather unhealthy for a long time and also suffer from obesity.""

Topic: Self-Reflection  
Quote: ""Can you tell me something about why this change is important to you?""

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change."""
14.0,"Topic: Procrastination  
Quote: ""I have often tried to get this problem under control, but I have only managed sporadically so far.""

Topic: Discipline  
Quote: ""Building discipline can indeed be very helpful to overcome procrastination.""

Topic: Goal Setting  
Quote: ""It might be helpful to start small and set specific goals.""

Topic: Gradual Change  
Quote: ""It's about seeing a general trend of improvement."""
15.0,"Topic: Fear of Failure  
Quote: ""Because I know from the past how difficult it is to change his behavior. In the short term it may work, but in the long term I often fall into old behavior patterns""

Topic: Healthy Eating  
Quote: ""I want to eat healthier""  

Topic: Self-Reflection  
Quote: ""Please think back to the time when you managed to feed yourself healthy.""  

Topic: Discipline  
Quote: ""Above all, it was the discipline that helped, but that usually only works if you don't have so much stress.""  "
16.0,"Topic: Procrastination  
Quote: ""I don't think I can fully exploit my potential because I do a lot of tasks at the last minute, so I don't have time for revisions.""

Topic: Self-Reflection  
Quote: ""I always think extremely long and detailed about the tasks to be done and mentally go through all possible difficulties that could occur during the actual processing."""
17.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Weight Loss  
Quote: ""I want to lose weight and generally feel more comfortable and fitter.""

Topic: Motivation and Confidence  
Quote: ""I'm already very motivated. This is great!""

Topic: Stress Management  
Quote: ""My thoughts and stress."""
18.0,"Topic: Fear of Failure  
Quote: ""I have tried several times unsuccessfully to change my diet. I usually do this for a few weeks, but then I fall back into old patterns again.""

Topic: Self-Reflection  
Quote: ""I have noticed that I haven't been eating well enough for some time. I would like to change that to maintain my health.""

Topic: Behavioral Change  
Quote: ""It is not unusual that behavioral changes take time and sometimes also several attempts.""

Topic: Motivation and Confidence  
Quote: ""A strong will is certainly important."""
19.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less.""

Topic: Self-Reflection  
Quote: ""Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal.""

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change.""

Topic: Motivation and Confidence  
Quote: ""I could be more content, more self-confidence and trust in my own discipline and productivity."""
21.0,"Topic: Healthy Eating  
Quote: ""I often don't feel well and my KFA is too high""

Topic: Self-Reflection  
Quote: ""What do you think the biggest challenges for you might be to eat healthier?""

Topic: Behavioral Change  
Quote: ""You are ready to make some changes and have already informed yourself well."""
22.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  

Topic: Behavioral Change  
Quote: ""My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change.""  

Topic: Motivation and Confidence  
Quote: ""So you're positive about this change overall.""  "
23.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Emotional Connection to Food  
Quote: ""Food is a reward for me, for example, after a long working day.""

Topic: Self-Reflection  
Quote: ""Your willingness to face these difficulties and overcome them is proof of your strength and determination."""
24.0,"Topic: Procrastination  
Quote: ""I want to procrastinate less""  

Topic: Self-Reflection  
Quote: ""Because life is short""  

Topic: Motivation and Confidence  
Quote: ""Your willingness to tackle this change is currently evaluated with a 4 on a scale from 0 to 10.""  "
25.0,"Topic: Procrastination  
Quote: ""I'm very motivated and structured in other areas of life and I don't postpone anything, but I don't always succeed in working.""

Topic: Motivation and Confidence  
Quote: ""Because I'm very motivated and structured in other areas of life and I don't postpone anything, but I don't always succeed in working.""

Topic: Goal Setting  
Quote: ""So you plan to write an application to change department. That sounds like a concrete and realistic step."""
26.0,"Topic: Healthy Eating  
Quote: ""I want to eat healthier.""

Topic: Self-Reflection  
Quote: ""It seems as if you have already dealt with the subject a lot, but need some support.""

Topic: Seeking External Support  
Quote: ""A diet plan might be helpful to you.""

Topic: Goal Setting  
Quote: ""The best thing that could happen to you would be to develop a healthy food style and maintain it in the long term."""
27.0,"Topic: Healthy Eating  
Quote: ""So you want to eat healthier. Can you tell me something about why this change is important to you?""

Topic: Motivation and Confidence  
Quote: ""I wanted to select a 6 but the scale has spun but I like to work on myself but it should not take my life completely""

Topic: Self-Reflection  
Quote: ""So you're motivated to eat healthier, but you also want it to fit in your lifestyle and not take it all over. That's a very sensible approach."""
