chat_id,topic
1.0,Procrastination
1.0,Self-Reflection
1.0,Emotional Well-being
1.0,Family and Social Relationships
2.0,Procrastination
2.0,Goal Setting
2.0,Patience
3.0,Procrastination
3.0,Goal Setting
3.0,Self-Reflection
4.0,Healthy Eating
4.0,Fear of Failure
5.0,Healthy Eating
5.0,Weight Loss
5.0,Self-Reflection
5.0,Goal Setting
5.0,Behavioral Change
6.0,Procrastination
6.0,Self-Reflection
7.0,Healthy Eating
7.0,Emotional Connection to Food
7.0,Self-Reflection
8.0,Healthy Eating
8.0,Goal Setting
9.0,Procrastination
9.0,Self-Reflection
10.0,Procrastination
10.0,Self-Reflection
10.0,Goal Setting
10.0,Productivity
11.0,Procrastination
11.0,Self-Reflection
12.0,Procrastination
12.0,Motivation and Confidence
12.0,Distraction Management
12.0,Behavioral Change
13.0,Healthy Eating
13.0,Self-Reflection
13.0,Behavioral Change
14.0,Procrastination
14.0,Discipline
14.0,Goal Setting
14.0,Gradual Change
15.0,Fear of Failure
15.0,Healthy Eating
15.0,Self-Reflection
15.0,Discipline
16.0,Procrastination
16.0,Self-Reflection
17.0,Healthy Eating
17.0,Weight Loss
17.0,Motivation and Confidence
17.0,Stress Management
18.0,Fear of Failure
18.0,Self-Reflection
18.0,Behavioral Change
18.0,Motivation and Confidence
19.0,Procrastination
19.0,Self-Reflection
19.0,Behavioral Change
19.0,Motivation and Confidence
21.0,Healthy Eating
21.0,Self-Reflection
21.0,Behavioral Change
22.0,Procrastination
22.0,Behavioral Change
22.0,Motivation and Confidence
23.0,Healthy Eating
23.0,Emotional Connection to Food
23.0,Self-Reflection
24.0,Procrastination
24.0,Self-Reflection
24.0,Motivation and Confidence
25.0,Procrastination
25.0,Motivation and Confidence
25.0,Goal Setting
26.0,Healthy Eating
26.0,Self-Reflection
26.0,Seeking External Support
26.0,Goal Setting
27.0,Healthy Eating
27.0,Motivation and Confidence
27.0,Self-Reflection
28.0,Procrastination
28.0,Self-Reflection
28.0,Motivation and Confidence
28.0,Behavioral Change
29.0,Behavioral Change
29.0,Self-Reflection
31.0,Healthy Eating
31.0,Goal Setting
31.0,Financial Stability
32.0,Self-Reflection
32.0,Sustainability
32.0,Environment Design
33.0,Healthy Eating
33.0,Weight Loss
33.0,Self-Reflection
36.0,Healthy Eating
36.0,Emotional Connection to Food
36.0,Weight Loss
37.0,Climate Crisis
37.0,Self-Reflection
37.0,Gradual Change
37.0,Environment Design
38.0,Healthy Eating
38.0,Self-Reflection
39.0,Procrastination
39.0,Motivation and Confidence
39.0,Goal Setting
40.0,Procrastination
40.0,Self-Reflection
41.0,Healthy Eating
41.0,Self-Reflection
41.0,Motivation and Confidence
41.0,Emotional Well-being
41.0,Goal Setting
42.0,Procrastination
42.0,Behavioral Change
42.0,Motivation and Confidence
43.0,Procrastination
43.0,Self-Reflection
44.0,Procrastination
44.0,Self-Reflection
44.0,Goal Setting
44.0,Support System
45.0,Procrastination
45.0,Self-Reflection
45.0,Behavioral Change
48.0,Procrastination
48.0,Self-Reflection
49.0,Healthy Eating
49.0,Self-Reflection
49.0,Goal Setting
49.0,Support System
50.0,Procrastination
50.0,Motivation and Confidence
50.0,Self-Reflection
51.0,Procrastination
51.0,Motivation and Confidence
52.0,Procrastination
52.0,Self-Reflection
52.0,Discipline
52.0,Emotional Well-being
52.0,Goal Setting
53.0,Healthy Eating
53.0,Self-Reflection
53.0,Weight Loss
55.0,Procrastination
55.0,Fear of Failure
55.0,Goal Setting
56.0,Procrastination
56.0,Self-Reflection
57.0,Procrastination
57.0,Self-Reflection
57.0,Behavioral Change
58.0,Procrastination
58.0,Self-Reflection
59.0,Self-Reflection
59.0,Sustainability
59.0,Support System
60.0,Healthy Eating
60.0,Weight Loss
60.0,Self-Reflection
61.0,Fear of Failure
61.0,Sustainability
61.0,Behavioral Change
61.0,Environment Design
61.0,Meat Consumption
62.0,Healthy Eating
62.0,Weight Loss
62.0,Self-Reflection
63.0,Healthy Eating
63.0,Self-Reflection
63.0,Goal Setting
63.0,Motivation and Confidence
64.0,Fear of Failure
64.0,Healthy Eating
65.0,Procrastination
65.0,Goal Setting
65.0,Seeking External Support
66.0,Procrastination
66.0,Self-Reflection
67.0,Healthy Eating
67.0,Weight Loss
67.0,Self-Reflection
69.0,Procrastination
69.0,Motivation and Confidence
69.0,Goal Setting
69.0,Self-Reflection
70.0,Healthy Eating
70.0,Goal Setting
71.0,Procrastination
71.0,Behavioral Change
72.0,Procrastination
72.0,Self-Reflection
73.0,Healthy Eating
73.0,Self-Reflection
74.0,Procrastination
74.0,Self-Reflection
75.0,Procrastination
75.0,Fear of Failure
75.0,Behavioral Change
75.0,Self-Reflection
76.0,Procrastination
76.0,Self-Reflection
76.0,Goal Setting
76.0,Emotional Well-being
80.0,Healthy Eating
80.0,Fear of Failure
81.0,Procrastination
81.0,Self-Reflection
81.0,Fear of Failure
83.0,Healthy Eating
83.0,Weight Loss
83.0,Motivation and Confidence
84.0,Healthy Eating
84.0,Self-Reflection
84.0,Behavioral Change
84.0,Seeking External Support
85.0,Procrastination
85.0,Motivation and Confidence
85.0,Self-Reflection
85.0,Task Prioritization
86.0,Procrastination
86.0,Self-Reflection
86.0,Goal Setting
87.0,Procrastination
87.0,Self-Reflection
88.0,Healthy Eating
88.0,Self-Reflection
88.0,Social Relationships
88.0,Goal Setting
89.0,Procrastination
89.0,Motivation and Confidence
89.0,Support System
89.0,Reward System
90.0,Climate Crisis
90.0,Self-Reflection
90.0,Sustainability
91.0,Procrastination
91.0,Self-Reflection
92.0,Procrastination
92.0,Self-Reflection
93.0,Climate Crisis
93.0,Self-Reflection
93.0,Sustainable Living
93.0,Gradual Change
94.0,Healthy Eating
94.0,Self-Reflection
94.0,Gradual Change
94.0,Emotional Response
95.0,Healthy Eating
95.0,Goal Setting
95.0,Motivation and Confidence
96.0,Procrastination
96.0,ADHD
96.0,Motivation and Confidence
96.0,Self-Reflection
