Unnamed: 0,utterance_id,turn_id,chat_id,datetime,user_utterance,valence,label,sublabel,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,valence_new,label_new,sublabel_new,Contained technical issue,user_rating_english,user_rating_explanation_english,user_sentiment,bot_sentiment
5,6,6,1.0,2023-08-07 15:44:58.752073,Weil ich jetzt etwas ändern musst. Das habe ich mir aber schon oft gesagt. Deshalb nur acht.,change,Reason,need,Digging Deep,2023-08-07 15:45:08.503392,"Das klingt so, als ob du schon oft den Impuls verspürt hättest, etwas zu verändern, es dann aber doch nicht getan hast. Was hindert dich daran, die gewünschte Veränderung in die Tat umzusetzen",gut/hilfreich,"Es trifft genau das zu, was ich erläutert habe.",change,Reason,need,1.0,good/helpful,Exactly what I have explained applies.,2.0,1.0
22,23,6,2.0,2023-08-07 15:51:24.098078,"Keine Ahnung, was du jetzt hören willst. ",Follow/Neutral,,,,2023-08-07 15:51:34.494324,"Entschuldigung, wenn das missverständlich war. Ich versuche, dir dabei zu helfen, deine Ziele zu erreichen, indem ich dir dabei helfe, einen Plan zu erstellen. 

Es kann hilfreich sein, sich kleinere, erreichbare Ziele zu setzen. Anstatt zu versuchen, alles auf einmal zu erledigen, könntest du zum Beispiel beginnen, indem du dir vornimmst, nur 20 Minuten pro Tag in",schlecht/unpassend,Antwort ist nicht vollständig,Follow/Neutral,,,0.0,bad/inappropriate,Answer is not complete,1.0,2.5
33,34,6,4.0,2023-08-07 15:53:42.931583,Ich bin mir nicht sicher ob ich es schaffe,sustain,Reason,ability,Undershooting,2023-08-07 15:53:47.857856,"Du hast also Zweifel, ob du die Veränderung schaffen kannst. Was sind die größten Hindernisse, die du siehst",schlecht/unpassend,,sustain,Reason,ability,0.0,bad/inappropriate,,2.0,1.5
35,36,6,3.0,2023-08-07 15:54:24.295649,"Vielleicht könnte ich mir ausmalen, was ich mit der gewonnenen Zeit alles machen könnte.",Follow/Neutral,,,,2023-08-07 15:54:31.343237,"Das ist ein ausgezeichneter Ansatz! Stell dir vor, du hast mehr Freizeit zur Verfügung. Was würdest du mit dieser zusätzlichen Zeit anfangen",gut/hilfreich,Die Antwort geht auf meine Antwort ein und ist ein guter Gedankenanstoß,Follow/Neutral,,,0.0,good/helpful,The answer responds to my answer and is good food for thought,2.0,2.6666666666666665
42,43,6,5.0,2023-08-07 15:56:39.497012,"Mir anfangen einen Essplan zu erstellen, mich mehr über Nahrungsmittel zu informieren.",change,Commitment,,,2023-08-07 15:56:50.167944,"Das sind großartige Ideen! Sich zu informieren und einen Ernährungsplan zu erstellen sind effektive Maßnahmen, um den Weg zu einer gesünderen Ernährung zu ebnen. Wie denkst du könntest du diese Maßnahmen in deinen Alltag einbauen",gut/hilfreich,"Die Antwort ist passend zu meinem Text und ich werde gefragt, wie ich vorgehen will.",change,Commitment,,0.0,good/helpful,The answer matches my text and I am asked how I want to proceed.,3.0,2.6666666666666665
66,67,6,6.0,2023-08-07 16:00:55.431885,Zum Beispiel Papierkram zeitnah bearbeiten und wegschicken,Follow/Neutral,,,Looking Forward,2023-08-07 16:01:02.454704,"Wie würde sich dein Alltag verändern, wenn du den Papierkram zeitnah bearbeiten und wegschicken könntest",gut/hilfreich,,Follow/Neutral,,,0.0,good/helpful,,1.0,2.0
69,70,6,7.0,2023-08-07 16:02:24.831023,"Ja,genau!",Follow/Neutral,,,Elaboration,2023-08-07 16:02:32.042406,"Verstehe. Könntest du ein Beispiel nennen, wann du in der Vergangenheit Schwierigkeiten hattest, auf Süßigkeiten zu verzichten",gut/hilfreich,er/sie will mehr wissen,Follow/Neutral,,,0.0,good/helpful,he/she wants to know more,3.0,2.0
77,78,6,8.0,2023-08-07 16:05:30.838123,"Das Schwierigste ist immer, einen Anfang zu finden. Daher wäre eine Idee, wie ich die Umstellung der Ernährung beginnen könnte, vielleicht hilfreich, meine Zuversicht zu erhöhen.",change,Reason,ability,,2023-08-07 16:05:45.819962,"Ein guter Anfang könnte sein, kleine, leicht umsetzbare Ziele zu setzen. Zum Beispiel könntest du anfangen, indem du eine ungesunde Mahlzeit pro Tag durch eine gesündere Alternative ersetzt. Oder du könntest versuchen, mehr Wasser zu trinken und weniger zuckerhaltige Getränke zu konsumieren. 

Denkst du, das wäre ein erreichbares Ziel für dich",gut/hilfreich,Die Antwort geht auf das geschilderte Problem ein und liefert konkrete Vorschläge.,change,Reason,ability,0.0,good/helpful,The answer addresses the problem described and provides concrete suggestions.,2.0,2.0
112,113,6,11.0,2023-08-07 16:23:19.898533,"Aufgaben, bei denen ich nicht weiß, wie ich anfangen soll. oder Probleme, für die ich keine konkrete Idee für eine Lösung habe",Follow/Neutral,,,,2023-08-07 16:23:30.229608,"Ich verstehe, dass unklare Aufgaben und Probleme, für die du keine sofortige Lösung siehst, besonders herausfordernd sein können und zur Prokrastination führen können. 

Kannst du dir vorstellen, welche ersten kleinen Schritte du machen könntest, um weniger zu prokrastinieren, insbesondere bei diesen Arten von Aufgaben oder Problemen",gut/hilfreich,,Follow/Neutral,,,0.0,good/helpful,,1.0,1.0
113,114,6,10.0,2023-08-07 16:23:49.637294,Ich setze mir immer kleine Ziele bei der Arbeit und erreiche diese nach und nach.,change,Reason,General Reason,Digging Deep,2023-08-07 16:23:54.810334,"Das klingt nach einem guten Ansatz. Wie fühlt es sich an, wenn du diese kleinen Ziele erreichst",gut/hilfreich,"Hilfreich, da persönliche Bindung aufgebaut wird und man sich selbst mehr emotional mit seinem Fortschritt befasst und diesen mehr anerkennt.",change,Reason,General Reason,0.0,good/helpful,This is helpful because it builds up a personal bond and you become more emotionally involved with your progress and recognize it more.,3.0,2.5
