GroupID,Segment,LSM,WC.Total
1.0,1,0.00,78
2.0,1,0.00,78
3.0,1,0.00,78
4.0,1,0.00,78
5.0,1,0.00,78
6.0,1,0.00,78
7.0,1,0.00,78
8.0,1,0.00,78
9.0,1,0.00,78
10.0,1,0.00,78
11.0,1,0.00,78
12.0,1,0.00,78
13.0,1,0.00,78
14.0,1,0.00,78
15.0,1,0.00,78
16.0,1,0.00,78
17.0,1,0.00,78
19.0,1,0.00,78
21.0,1,0.00,78
22.0,1,0.00,78
23.0,1,0.00,78
24.0,1,0.00,78
25.0,1,0.00,78
26.0,1,0.00,78
27.0,1,0.25,20
28.0,1,0.00,78
31.0,1,0.00,78
32.0,1,0.00,78
36.0,1,0.00,78
37.0,1,0.00,78
38.0,1,0.00,78
39.0,1,0.00,78
40.0,1,0.00,78
41.0,1,0.00,78
42.0,1,0.00,78
44.0,1,0.00,78
45.0,1,0.00,78
49.0,1,0.00,78
50.0,1,0.00,78
51.0,1,0.00,78
52.0,1,0.00,78
53.0,1,0.00,78
55.0,1,0.00,78
56.0,1,0.00,78
57.0,1,0.00,78
58.0,1,0.00,78
59.0,1,0.00,78
60.0,1,0.00,78
61.0,1,0.00,78
62.0,1,0.00,78
63.0,1,0.00,78
64.0,1,0.00,78
65.0,1,0.00,78
66.0,1,0.00,78
67.0,1,0.00,78
69.0,1,0.00,78
70.0,1,0.00,78
71.0,1,0.00,78
72.0,1,0.00,78
73.0,1,0.00,78
74.0,1,0.00,78
75.0,1,0.00,78
80.0,1,0.00,78
81.0,1,0.00,78
83.0,1,0.00,78
84.0,1,0.00,78
85.0,1,0.00,78
86.0,1,0.00,78
87.0,1,0.00,78
88.0,1,0.00,78
89.0,1,0.00,78
90.0,1,0.00,78
91.0,1,0.00,78
92.0,1,0.00,78
93.0,1,0.00,78
94.0,1,0.00,78
95.0,1,0.00,78
96.0,1,0.00,78
98.0,1,0.00,78
99.0,1,0.00,78
100.0,1,0.00,78
101.0,1,0.00,78
102.0,1,0.00,78
103.0,1,0.00,78
104.0,1,0.00,78
105.0,1,0.00,78
106.0,1,0.00,78
107.0,1,0.00,78
108.0,1,0.00,78
109.0,1,0.00,78
110.0,1,0.00,78
111.0,1,0.00,78
112.0,1,0.00,78
113.0,1,0.00,78
114.0,1,0.00,78
115.0,1,0.00,78
116.0,1,0.00,78
117.0,1,0.00,78
118.0,1,0.00,78
120.0,1,0.00,78
121.0,1,0.00,78
122.0,1,0.00,78
123.0,1,0.00,78
124.0,1,0.00,78
125.0,1,0.00,78
126.0,1,0.00,78
127.0,1,0.00,78
129.0,1,0.00,78
130.0,1,0.00,78
131.0,1,0.00,78
132.0,1,0.00,78
133.0,1,0.00,78
135.0,1,0.00,78
136.0,1,0.00,78
137.0,1,0.00,78
140.0,1,0.00,78
141.0,1,0.00,78
144.0,1,0.00,78
145.0,1,0.00,78
146.0,1,0.00,78
147.0,1,0.00,78
148.0,1,0.00,78
149.0,1,0.00,78
150.0,1,0.63,4
151.0,1,0.00,78
152.0,1,0.00,78
153.0,1,0.00,78
156.0,1,0.00,78
158.0,1,0.00,78
161.0,1,0.00,78
162.0,1,0.00,78
167.0,1,0.00,78
168.0,1,0.00,78
170.0,1,0.00,78
172.0,1,0.00,78
175.0,1,0.00,78
176.0,1,0.00,78
177.0,1,0.00,78
178.0,1,0.00,78
179.0,1,0.00,78
181.0,1,0.00,78
182.0,1,0.00,78
183.0,1,0.00,78
186.0,1,0.00,78
188.0,1,0.00,78
189.0,1,0.00,78
190.0,1,0.00,78
191.0,1,0.00,78
192.0,1,0.00,78
