,utterance_id,turn_id,chat_id,datetime,user_utterance,valence,label,sublabel,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,valence_new,label_new,sublabel_new,user_utterance_english,bot_utterance_english,Contained technical issue
0,1,1,1.0,2023-08-07 15:42:33.034771,start,Follow/Neutral,,,,2023-08-07 15:42:35.406764,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",1.0
1,2,2,1.0,2023-08-07 15:43:07.304097,Ich möchte weniger prokrastinieren,change,Reason,desire,,2023-08-07 15:43:09.81535,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to procrastinate less,So you want to procrastinate less. Can you tell me something about why this change is important to you?,1.0
2,3,3,1.0,2023-08-07 15:43:48.284858,Ich könnte schon viel weiter im Leben sein.,change,Reason,General Reason,,2023-08-07 15:43:53.12469,Wie wichtig ist dir diese Veränderung auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr),,,change,Reason,General Reason,I could be a lot further in my life.,How important is this change on a scale from 0 (not at all) to 10 (very),1.0
3,4,4,1.0,2023-08-07 15:44:04.602837,,Follow/Neutral,,,,2023-08-07 15:44:09.308969,"Auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), wie interessiert bist du jetzt gerade daran, diese Veränderung durchzuführen?",,,Follow/Neutral,,,I don't know.,"On a scale from 0 (not at all) to 10 (very), how interested are you in doing this change right now?",1.0
4,5,5,1.0,2023-08-07 15:44:20.584669,8,Follow/Neutral,,,,2023-08-07 15:44:22.691588,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,8,An 8. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,1.0
5,6,6,1.0,2023-08-07 15:44:58.752073,Weil ich jetzt etwas ändern musst. Das habe ich mir aber schon oft gesagt. Deshalb nur acht.,change,Reason,need,Digging Deep,2023-08-07 15:45:08.503392,"Das klingt so, als ob du schon oft den Impuls verspürt hättest, etwas zu verändern, es dann aber doch nicht getan hast. Was hindert dich daran, die gewünschte Veränderung in die Tat umzusetzen",gut/hilfreich,"Es trifft genau das zu, was ich erläutert habe.",change,Reason,need,"Because I have to change something now, but I've told myself that many times, so only eight.","That sounds like you've often felt the impulse to change something, but then you haven't. What prevents you from putting the desired change into action?",1.0
6,7,1,2.0,2023-08-07 15:45:25.459049,start,Follow/Neutral,,,,2023-08-07 15:45:27.421443,"Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",,,Follow/Neutral,,,Start,"Hi! I'm MIcha, your motivational chatbot. My goal is to help you reflect on your behavior and help you develop a plan for your behavioral change. Please think carefully about my questions and see them primarily as thought impulses that bring you mentally closer to your goal. I'm not here to give you tips or recommendations for action, but to get clear about your motives and values. What behavioral change do you want to talk about today?",0.0
7,8,2,2.0,2023-08-07 15:45:55.656004,Ich möchte weniger prokrastinieren,change,Reason,desire,,2023-08-07 15:45:57.482586,"Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",,,change,Reason,desire,I want to procrastinate less,So you want to procrastinate less. Can you tell me something about why this change is important to you?,0.0
8,9,7,1.0,2023-08-07 15:46:12.641909,Alltag. Faulheit.,sustain,Reason,General Reason,Undershooting,2023-08-07 15:46:20.580675,"Es scheint, als ob der Alltag und die Faulheit Hindernisse für dich darstellen. Wie könnte es sein, wenn du diese Hindernisse überwindest",gut/hilfreich,Bringt mich dazu mir Gedanken zu machen.,sustain,Reason,General Reason,"Everyday life, laziness.",It seems as if everyday life and laziness are obstacles for you. How could it be if you overcome these obstacles?,1.0
9,10,3,2.0,2023-08-07 15:46:47.713953,"Es gibt wichtige Dinge zu erledigen,d ie ich nicht anfange und anschließend ärgert es mich, dass diese noch unerledigt sind. ",Follow/Neutral,,,,2023-08-07 15:47:00.725062,Eine 9. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,"There are important things to do, I don't start and then it annoys me that they are still unfinished.",A 9. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,0.0
10,11,4,2.0,2023-08-07 15:47:28.68228,"Ich sehe die Wichtigkeit, kann ioch aber nicht aufraffen",sustain,Reason,ability,,2023-08-07 15:47:44.852931,"Ich verstehe, es scheint, als ob du dich in einem Teufelskreis befindest. Du siehst die Notwendigkeit und den Nutzen darin, weniger zu prokrastinieren, aber es fällt dir schwer, dich dazu aufzuraffen und anzufangen. 

Kannst du mir ein Beispiel geben, was du konkret aufschiebst und was dich daran hindert, es zu erledigen",gut/hilfreich,"Eigentlich war sie nur eine Wiederholung meiner Aussage, aber eben auch nicht schlecht oder verletzend",sustain,Reason,ability,"I see the importance, but I can't catch up","I understand it seems like you're in a vicious circle. You see the need and the benefit of procrastinating less, but it's hard for you to get into it and start. Can you give me an example of what you're putting on concretely and what prevents you from doing it?",0.0
